ticker,one_year_return_pct
LITE,1563.8273157383217
CIEN,720.3418699085203
GEV,655.0664481081909
COHR,490.80966804740854
SATS,452.11083691925785
FIX,439.060068220203
CVNA,414.49230931266834
GLW,327.3261593910571
HOOD,316.9284231664183
HWM,305.6310011223098
MU,253.91945510020636
ALB,228.77697413523958
NEM,214.0566472263422
LRCX,187.74202512979863
IBKR,176.3582596396537
GL,169.14951772158167
KLAC,165.01504511339255
BK,145.78316436777828
RL,141.99809326468718
ETR,140.09847565249055
EME,134.77135670147032
JBL,131.13664111266786
JCI,127.64283126249465
RCL,127.17899880684524
APH,123.49283891610696
MS,120.91760748833691
NVDA,120.24955516464368
GILD,118.57564447822107
CMI,117.55480588249947
PWR,117.43131189090485
KEYS,115.96006361477632
MPWR,115.46971100420875
FOXA,110.11325025478209
RTX,109.2600162641105
FOX,106.08936087574001
GE,105.3646417621068
C,104.9394784409106
GOOGL,102.69323017341097
EBAY,99.21956554158176
PM,98.73879122995292
GOOG,98.37341308825258
KMI,95.92261262839061
IVZ,95.03077274461285
GRMN,90.71850264923708
EXPE,88.63141954390517
CFG,88.61437295756922
NI,86.88720144287738
PH,85.71405005862916
GM,83.61625820405546
LHX,82.83179562903275
