date,spy_close,vix,breadth,liquidity,positioning,sector,momentum,composite,regime,confidence,fwd_1w,fwd_4w,fwd_12w
2016-03-04,169.87213134765625,0.0,1.6745159602302486,44.2318085751748,7.0465187347199,38.010638530949834,3.651903651903659,16.30502886212183,risk-on,1.0,1.1625080618068884,3.770491361515682,5.435499257146037
2016-03-11,171.84690856933594,0.0,0.0,44.2447895566364,8.101515411106261,34.31010786775849,3.651903651903659,15.575891768347354,risk-on,1.0,1.318859021613883,1.3783413997262794,4.243697855801898
2016-03-18,174.1133270263672,0.0,0.0,46.476751443287796,10.084175854839819,21.32576784781991,0.9324009324009492,14.10008193729661,risk-on,1.0,-0.6165183160248611,1.663571469948666,2.784020704793422
2016-03-25,173.03988647460938,0.0,0.0,81.39436530170356,9.795357499935262,23.08508534590305,2.0979020979021104,21.420729697006664,risk-on,1.0,1.870816594420166,2.8801071431531877,2.202649620267194
2016-04-01,176.2771453857422,0.0,0.0,85.01884164056709,7.572440793895584,19.7717857522966,0.5439005439005419,21.1597923644323,risk-on,1.0,-1.1695218497746684,-0.2851244566218991,-1.2676391488975702
2016-04-08,174.21554565429688,0.0,0.0,80.16899235929688,4.964418994850838,10.063627880932232,9.867909867909873,19.27479649001782,risk-on,1.0,1.603921736929359,0.5965636629737592,3.1842040956821194
2016-04-15,177.00982666015625,0.0,0.0,44.668293739271576,3.398344708705834,6.483193479256255,4.428904428904433,10.858779918939069,risk-on,1.0,0.5727331439394634,-1.4534784487172825,2.8760530997069544
2016-04-22,178.02362060546875,0.0,0.0,43.82149324763377,0.0,8.705565984455538,4.81740481740482,10.551874028935565,risk-on,1.0,-1.2633629543130187,-1.665318700096241,3.8198566961253677
2016-04-29,175.7745361328125,0.0,6.52363509506367,48.05106852188641,4.427177763891015,9.204611391285129,9.479409479409485,13.907650044607381,risk-on,1.0,-0.29565365343815486,1.8950376576883254,5.835153425998918
2016-05-06,175.25485229492188,0.0,8.267922553636836,81.04071892338935,10.699541768717335,6.329010928536162,9.479409479409485,21.363952147934203,risk-on,1.0,-0.46664917214763735,2.2166118642441557,6.090365053264546
2016-05-13,174.43702697753906,0.0,14.477585906157334,82.23010499933835,11.450593281609764,5.600870894902851,0.0,21.899257807576028,risk-on,1.0,0.35653725254014557,2.593286070869194,7.108132896485753
2016-05-20,175.0589599609375,0.0,6.0003488574917165,80.66601251875352,9.879388886972574,5.793173521138196,7.148407148407163,20.398997351306377,risk-on,1.0,2.3115468212090873,1.0238772790696293,6.864560837831557
2016-05-27,179.10552978515625,0.0,0.0,47.126584365956695,7.267384667308323,5.226304655948011,12.198912198912206,12.519261491571008,risk-on,1.0,0.019006871780713475,-2.8267929588528085,4.488424636177291
2016-06-03,179.1395721435547,0.0,0.0,45.657219454643474,1.0880187937730756,2.284393570918184,7.925407925407938,10.429846538173177,risk-on,1.0,-0.09986293973359706,0.3479700455473411,3.8710262126588235
2016-06-10,178.96067810058594,0.0,0.0,43.446714463352585,0.0,3.6263913639414005,2.8749028749028844,9.520791884752013,risk-on,1.0,-1.1786551358769715,1.7546006191654806,4.491656852143189
2016-06-17,176.85134887695312,3.5249996185302734,11.233211233211234,42.04554429973496,0.0,13.9483097192779,4.040404040404046,13.857037892227382,risk-on,1.0,-1.5882047914906883,4.508033990990601,3.273293742175465
2016-06-24,174.04258728027344,44.264129749462796,48.033315890458745,49.42057356708416,0.0,29.812562808988062,5.594405594405594,33.37492882218991,risk-on,1.0,3.2867455049094607,6.888350091245399,5.514535919737362
2016-07-01,179.76292419433594,0.0,0.0,87.18776840103173,0.0,14.682338725222415,4.81740481740482,20.121644970730184,risk-on,1.0,1.3004901220555976,3.429844283263228,3.4113143574330262
2016-07-08,182.10072326660156,0.0,0.0,83.95474718753064,0.2340464809193854,5.571686201477675,11.810411810411818,18.842850520906865,risk-on,1.0,1.4954056647338065,2.600494563795186,2.2302294934546163
2016-07-15,184.82386779785156,0.0,0.0,81.79663525191185,0.0,4.90556157754375,11.033411033411044,18.198502390355035,risk-on,1.0,0.6532609757247343,1.2185228014722105,0.13726183202193987
2016-07-22,186.03125,0.0,0.0,47.615413361334994,0.0,3.409349882969642,12.198912198912206,11.254376374603664,risk-on,1.0,-0.055225897131694346,0.598445964744676,-1.4009234445867658
2016-07-29,185.9285125732422,0.0,0.0,43.59513973695049,0.0,5.604972504407965,8.702408702408711,10.430014693292163,risk-on,1.0,0.4882145777299618,0.07830932610566332,-0.9483536781378366
2016-08-05,186.83624267578125,0.0,0.0,44.76162863406261,0.0,4.776109267115884,14.529914529914537,11.121733569871356,risk-on,1.0,0.12831883702886238,0.08710033076075874,-2.092915186410227
2016-08-12,187.07598876953125,0.0,0.0,43.16983527818381,0.0,3.7213227555719026,21.13442113442114,11.30560758241466,risk-on,1.0,0.03664700088383821,-2.3711090803323787,-4.054048983818548
2016-08-19,187.14454650878906,0.0,0.0,43.23349262711544,0.0,3.2349380335736013,20.357420357420363,11.167681266201162,risk-on,1.0,-0.571982774962787,-1.8725195591740684,-0.4698278515463672
2016-08-26,186.07411193847656,0.0,3.7342596613113317,42.45946646747447,0.0,3.112369992795417,15.306915306915311,11.236292255368003,risk-on,1.0,0.49704158897829753,-0.09614948575811244,1.0647950769495207
2016-09-02,186.9989776611328,0.0,0.0,49.16459580495514,0.0,3.5059748384664466,9.867909867909873,11.345606373551982,risk-on,1.0,-2.330902929499523,-0.44759087290950905,1.9549226795396057
2016-09-09,182.6402130126953,0.0,55.01519756838907,43.65140981993818,0.0,6.68080258920008,15.695415695415699,22.304983435587026,risk-on,1.0,0.5475329021432662,1.3345075391145933,3.521071749893845
2016-09-16,183.64022827148438,0.0,22.492401215805472,41.45188076388911,13.333333333333332,8.17595525868569,18.20120178329134,17.835369863070902,risk-on,1.0,1.227930495654106,-0.11714953146003682,6.158347878354609
2016-09-23,185.89520263671875,0.0,0.0,84.35922038890722,0.0,5.748692303300139,17.03818569490212,19.437966492766673,risk-on,1.0,0.1435134765097157,-0.930604946569058,4.804114446990471
2016-09-30,186.1619873046875,0.0,0.0,88.29348134797115,0.0,10.25336954462386,15.487497577049822,20.74545145899279,risk-on,1.0,-0.5825178897064243,-1.7383080039264587,4.965487767853816
2016-10-07,185.0775604248047,0.0,4.427533725354548,100.0,0.0,20.23102668950859,14.3244814886606,25.35260889736325,risk-on,1.0,-0.8928504441703455,-3.018044901895367,4.560787511636133
2016-10-14,183.4250946044922,0.0,25.527499135247318,86.82270034582723,0.0,22.54344502765387,22.07792207792209,28.059348858155193,risk-on,1.0,0.40352062112909426,1.5484221001889509,7.239670884498528
2016-10-21,184.16525268554688,0.0,17.052922864060882,80.01264456710739,3.2478463442762617,22.792134196891386,28.668346578794345,26.185945225288226,risk-on,1.0,-0.6729467629604469,2.1123242194717395,6.733452896875036
2016-10-28,182.92591857910156,0.0,12.556208924247667,46.21541677707139,5.394143619675191,21.703971655080068,30.367504835589948,18.85579291503609,risk-on,1.0,-1.8773075231353964,4.225068031293677,7.309867934665593
2016-11-04,179.49183654785156,32.73214712614423,21.944168788022605,44.603742453649424,10.848742885466027,35.44351503891149,22.24371373307544,29.02422173552742,risk-on,1.0,3.773682908962428,5.336883054637376,10.438557542745475
2016-11-11,186.26528930664062,0.0,0.0,43.7203737037892,27.399118881237854,21.49540725113489,29.206963249516445,18.998949985565392,risk-on,1.0,0.9610650604296778,4.662244424998541,6.594467047898922
