ticker,direction,signal
UGL,long,0.2195285199793807
SIVR,long,1.5366996398556647
MU,long,1.0976425998969035
METSO.HE,long,-0.4390570399587614
LHX,long,-0.4390570399587614
AUR,short,-1.0976425998969035
RCAT,short,0.658585559938142
OKLO,short,-1.5366996398556647
