,ig_oas_pct,hy_oas_pct,nfci,fed_assets_musd,tga_musd,on_rrp_musd,reserves_musd,m2_busd,gdp_busd_saar,ecb_assets_meur,boj_assets_100m_yen,net_liquidity_musd,m2_gdp_ratio,d_netliq_1w,d_netliq_4w,d_netliq_13w,d_reserves_1w,d_reserves_4w,d_reserves_13w,d_fed_assets_1w,d_fed_assets_4w,d_fed_assets_13w,d_tga_1w,d_tga_4w,d_tga_13w,d_rrp_1w,d_rrp_4w,d_rrp_13w,d_ecb_assets_1w,d_ecb_assets_4w,d_ecb_assets_13w,d_boj_assets_1w,d_boj_assets_4w,d_boj_assets_13w,d_ig_oas_1w,d_ig_oas_4w,d_ig_oas_13w,d_hy_oas_1w,d_hy_oas_4w,d_hy_oas_13w,d_nfci_1w,d_nfci_4w,d_nfci_13w,d_m2gdp_1w,d_m2gdp_4w,d_m2gdp_13w,z_netliq_4w,z_reserves_4w,z_global_cb_4w,z_m2_gdp,z_hy_oas,z_ig_oas,z_nfci,LiquidityScore,LiquidityImpulse_4w,LiquidityImpulse_13w
2023-03-15,1.64,5.2,-0.20777,8639300.0,232866.0,2055822.9999999998,3251482.0,20876.1,27216.445,7829368.0,7351165.0,6350611.0,0.7670399275144126,534915.0,468221.0,,251762.0,210444.0,,297017.0,254533.0,,-100484.0,-257513.0,,-137414.00000000023,43824.99999999977,,-1428.0,-42840.0,,0.0,-44635.0,,0.3699999999999999,0.4099999999999999,,1.1100000000000003,1.0200000000000005,,0.03251999999999999,0.10338999999999998,,0.0,-0.011331384389107524,,,,,,,,,,,
2023-03-22,1.5,5.0,-0.17618,8733787.0,259587.0,2279608.0,3425075.0,20876.1,27216.445,7831859.0,7351165.0,6194592.0,0.7670399275144126,-156019.0,403584.0,,173593.0,408498.0,,94487.0,351597.0,,26721.0,-217746.0,,223785.00000000023,165759.0,,2491.0,-41723.0,,0.0,-44635.0,,-0.1399999999999999,0.21999999999999997,,-0.20000000000000018,0.5899999999999999,,0.03159000000000001,0.12045,,0.0,-0.011331384389107524,,,,,,,,,,,
2023-03-29,1.5,4.83,-0.15756,8705942.0,183577.0,2264862.0,3437592.0,20876.1,27216.445,7835921.0,7351165.0,6257503.0,0.7670399275144126,62911.0,433014.0,,12517.0,439289.0,,-27845.0,366258.0,,-76010.0,-197668.0,,-14746.0,130912.0,,4062.0,-3464.0,,0.0,0.0,,0.0,0.20999999999999996,,-0.16999999999999993,0.6600000000000001,,0.018619999999999998,0.11365,,0.0,0.0,,,,,,,,,,,
2023-04-05,1.45,4.84,-0.1539,8632384.0,168793.0,2243011.0,3292058.0,20729.8,27530.055,7729612.0,7400726.0,6220580.0,0.7529879617022196,-36923.0,404884.0,366318.0,-145534.0,292338.0,461914.0,-73558.0,290101.0,124955.0,-14784.0,-164557.0,-254832.0,-21851.0,49774.0,13469.0,-106309.0,-101184.0,,49561.0,49561.0,62965.0,-0.050000000000000044,0.17999999999999994,0.050000000000000044,0.009999999999999787,0.75,0.21999999999999975,0.0036599999999999966,0.08639,,-0.014051965812193035,-0.014051965812193035,-0.026147594025209164,,,,,,,,,,
2023-04-12,1.43,4.62,-0.15728,8614797.0,109208.0,2303862.0,3413989.0,20729.8,27530.055,7729251.0,7400726.0,6201727.0,0.7529879617022196,-18853.0,-148884.0,264650.0,121931.0,162507.0,332752.0,-17587.0,-24503.0,106210.0,-59585.0,-123658.0,-263132.0,60851.0,248039.00000000023,104692.0,-361.0,-100117.0,-238784.0,0.0,49561.0,62965.0,-0.020000000000000018,-0.20999999999999996,0.08999999999999986,-0.21999999999999975,-0.5800000000000001,0.3200000000000003,-0.003379999999999994,0.05049000000000001,0.08832000000000001,0.0,-0.014051965812193035,-0.026147594025209164,,,,,,,,,,
2023-04-19,1.37,4.41,-0.16862,8593263.0,166555.0,2294677.0,3303152.0,20729.8,27530.055,7730924.0,7400726.0,6132031.0,0.7529879617022196,-69696.0,-62561.0,113688.0,-110837.0,-121923.0,155820.0,-21534.0,-140524.0,104224.0,57347.0,-93032.0,-172463.0,-9185.0,15069.0,162999.0,1673.0,-100935.0,-241128.0,0.0,49561.0,62965.0,-0.05999999999999983,-0.1299999999999999,0.08000000000000007,-0.20999999999999996,-0.5899999999999999,0.16000000000000014,-0.011339999999999989,0.007560000000000011,0.10144000000000003,0.0,-0.014051965812193035,-0.026147594025209164,,,,,,,,,,
2023-04-26,1.41,4.63,-0.18213,8562768.0,291702.0,2279561.0,3135655.0,20729.8,27530.055,7714222.0,7400726.0,5991505.0,0.7529879617022196,-140526.0,-265998.0,44357.0,-167497.0,-301937.0,103766.0,-30495.0,-143174.0,92211.0,125147.0,108125.0,-200146.0,-15116.0,14699.0,248000.0,-16702.0,-121699.0,-244958.0,0.0,49561.0,62965.0,0.039999999999999813,-0.09000000000000008,0.1299999999999999,0.21999999999999975,-0.20000000000000018,0.28000000000000025,-0.013509999999999994,-0.02456999999999998,0.10882,0.0,-0.014051965812193035,-0.026147594025209164,,,,,,,,,,
2023-05-03,1.45,4.79,-0.19278,8503994.0,269216.0,2258222.0,3089706.0,20801.1,27530.055,7719816.0,7455518.0,5976556.0,0.7555778584532431,-14949.0,-244024.0,141297.0,-45949.0,-202352.0,74200.0,-58774.0,-128390.0,70384.0,-22486.0,100423.0,-290873.0,-21339.0,15211.0,219960.0,5594.0,-9796.0,-174175.0,54792.0,54792.0,59718.0,0.040000000000000036,0.0,0.19999999999999996,0.16000000000000014,-0.04999999999999982,0.4800000000000004,-0.01065000000000002,-0.03888,0.11491999999999997,0.0025898967510235016,0.0025898967510235016,-0.022793453450277057,,,,,,,,,,
2023-05-10,1.49,4.78,-0.20099,8503017.0,197666.0,2233149.0,3196429.0,20801.1,27530.055,7716913.0,7455518.0,6072202.0,0.7555778584532431,95646.0,-129525.0,189714.0,106723.0,-217560.0,158845.0,-977.0,-111780.0,67648.0,-71550.0,88458.0,-295611.0,-25073.0,-70713.0,173545.00000000023,-2903.0,-12338.0,-158452.0,0.0,54792.0,59718.0,0.040000000000000036,0.06000000000000005,0.29000000000000004,-0.009999999999999787,0.16000000000000014,0.71,-0.008209999999999995,-0.04371,0.11403000000000002,0.0,0.0025898967510235016,-0.022793453450277057,,,,,,,,,,
2023-05-17,1.49,4.75,-0.20752,8456760.0,116220.0,2213676.0,3248878.0,20801.1,27530.055,7728510.0,7455518.0,6126864.0,0.7555778584532431,54662.0,-5167.0,244474.0,52449.0,-54274.0,207840.0,-46257.0,-136503.0,71993.0,-81446.0,-50335.0,-374159.0,-19473.0,-81001.0,201678.0,11597.0,-2414.0,-143698.0,0.0,54792.0,59718.0,0.0,0.11999999999999988,0.26,-0.03000000000000025,0.33999999999999986,0.5700000000000003,-0.006530000000000008,-0.03890000000000002,0.10363999999999998,0.0,0.0025898967510235016,-0.022793453450277057,,,,,,,,,,
2023-05-24,1.44,4.68,-0.21154,8436255.0,61952.0,2250709.0,3240172.0,20801.1,27530.055,7730118.0,7455518.0,6123594.0,0.7555778584532431,-3270.0,132089.0,332586.0,-8706.0,104517.0,223595.0,-20505.0,-126513.0,54065.0,-54268.0,-229750.0,-415381.0,37033.0,-28852.0,136860.0,1608.0,15896.0,-143464.0,0.0,54792.0,59718.0,-0.050000000000000044,0.030000000000000027,0.15999999999999992,-0.07000000000000028,0.04999999999999982,0.2699999999999996,-0.004019999999999996,-0.02941000000000002,0.08509,0.0,0.0025898967510235016,-0.022793453450277057,,,,,,,,,,
2023-05-31,1.42,4.69,-0.21355,8385854.0,48954.0,2254859.0,3309447.0,20801.1,27530.055,7713658.0,7455518.0,6082041.0,0.7555778584532431,-41553.0,105485.0,257552.0,69275.0,219741.0,311144.0,-50401.0,-118140.0,46170.0,-12998.0,-220262.0,-332291.0,4150.0,-3363.0,120909.0,-16460.0,-6158.0,-125727.0,0.0,0.0,104353.0,-0.020000000000000018,-0.030000000000000027,0.1299999999999999,0.010000000000000675,-0.09999999999999964,0.5200000000000005,-0.002009999999999984,-0.020769999999999983,0.05766000000000002,0.0,0.0,-0.011462069061169533,,,,,,,,,,
2023-06-07,1.39,4.33,-0.21541,8389325.0,44756.0,2161556.0,3349751.0,20782.6,27530.055,7712715.0,7328285.0,6183013.0,0.7549058656076059,100972.0,110811.0,367317.0,40304.0,153322.0,350031.0,3471.0,-113692.0,47042.0,-4198.0,-152910.0,-288594.0,-93303.0,-71593.0,-31681.0,-943.0,-4198.0,-118081.0,-127233.0,-127233.0,-22880.0,-0.030000000000000027,-0.10000000000000009,0.11999999999999988,-0.3600000000000003,-0.4500000000000002,0.2400000000000002,-0.0018600000000000005,-0.014419999999999988,0.024880000000000013,-0.000671992845637237,-0.000671992845637237,-0.01213406190680677,,,,,,,,,,
2023-06-14,1.38,4.18,-0.21657,8388323.0,102118.0,2109105.0,3325261.0,20782.6,27530.055,7714391.0,7328285.0,6177100.0,0.7549058656076059,-5913.0,50236.0,-173511.0,-24490.0,76383.0,73779.0,-1002.0,-68437.0,-250977.0,57362.0,-14102.0,-130748.0,-52451.0,-104571.0,53282.00000000023,1676.0,-14119.0,-114977.0,0.0,-127233.0,-22880.0,-0.010000000000000009,-0.1100000000000001,-0.26,-0.15000000000000036,-0.5700000000000003,-1.0200000000000005,-0.0011600000000000221,-0.009050000000000002,-0.008800000000000002,0.0,-0.000671992845637237,-0.01213406190680677,,,,,,,,,,
2023-06-21,1.35,4.32,-0.2187,8362060.0,276850.0,2037102.0,3251558.0,20782.6,27530.055,7709739.0,7328285.0,6048108.0,0.7549058656076059,-128992.0,-75486.0,-146484.0,-73703.0,11386.0,-173517.0,-26263.0,-74195.0,-371727.0,174732.0,214898.0,17263.0,-72003.0,-213607.0,-242506.0,-4652.0,-20379.0,-122120.0,0.0,-127233.0,-22880.0,-0.029999999999999805,-0.08999999999999986,-0.1499999999999999,0.14000000000000057,-0.35999999999999943,-0.6799999999999997,-0.002129999999999993,-0.00716,-0.04252,0.0,-0.000671992845637237,-0.01213406190680677,,,,,,,,,,
2023-06-28,1.34,4.27,-0.22285,8340914.0,390571.0,1945211.0,3171567.0,20782.6,27530.055,7710607.0,7328285.0,6005132.0,0.7549058656076059,-42976.0,-76909.0,-252371.0,-79991.0,-137880.0,-266025.0,-21146.0,-44940.0,-365028.0,113721.0,341617.0,206994.0,-91891.0,-309648.0,-319651.0,868.0,-3051.0,-125314.0,0.0,-127233.0,-22880.0,-0.010000000000000009,-0.07999999999999985,-0.15999999999999992,-0.05000000000000071,-0.4200000000000008,-0.5600000000000005,-0.004149999999999987,-0.009300000000000003,-0.06528999999999999,0.0,-0.000671992845637237,-0.01213406190680677,,,,-0.8916393375293956,0.788951114194602,0.3971085791748701,,0.1968274036963935,,
2023-07-05,1.28,4.01,-0.22899,8298312.0,415441.0,1867061.0,3114989.0,20772.0,28074.846,7219695.0,7416142.0,6015810.0,0.739879392392749,10678.0,-167203.0,-204770.0,-56578.0,-234762.0,-177069.0,-42602.0,-91013.0,-334072.0,24870.0,370685.0,246648.0,-78150.0,-294495.0,-375950.0,-490912.0,-493020.0,-509917.0,87857.0,87857.0,15416.0,-0.06000000000000005,-0.10999999999999988,-0.16999999999999993,-0.2599999999999998,-0.3200000000000003,-0.8300000000000001,-0.0061400000000000066,-0.013580000000000009,-0.07508999999999999,-0.01502647321485684,-0.01502647321485684,-0.013108569309470575,,,,-2.064747394518365,1.560599132267788,0.9569046803804439,0.057802591104695135,0.31548931995402696,,
2023-07-12,1.27,3.95,-0.23773,8296923.0,514337.0,1820146.0,3166607.0,20772.0,28074.846,7206902.0,7416142.0,5962440.0,0.739879392392749,-53370.0,-214660.0,-239287.0,51618.0,-158654.0,-247382.0,-1389.0,-91400.0,-317874.0,98896.0,412219.0,405129.0,-46915.0,-288959.0,-483716.0,-12793.0,-507489.0,-522349.0,0.0,87857.0,15416.0,-0.010000000000000009,-0.10999999999999988,-0.15999999999999992,-0.05999999999999961,-0.22999999999999954,-0.6699999999999999,-0.008739999999999998,-0.021159999999999984,-0.08045,0.0,-0.01502647321485684,-0.013108569309470575,,,,-1.888840173553759,1.638238654546204,1.0171742494745313,0.23357916781125726,0.42562041041142673,,
2023-07-19,1.28,3.89,-0.25058,8274552.0,531135.0,1732804.0,3230457.0,20772.0,28074.846,7205494.0,7416142.0,6010613.0,0.739879392392749,48173.0,-37495.0,-121418.0,63850.0,-21101.0,-72695.0,-22371.0,-87508.0,-318711.0,16798.0,254285.0,364580.0,-87342.0,-304298.0,-561873.0,-1408.0,-504245.0,-525430.0,0.0,87857.0,15416.0,0.010000000000000009,-0.07000000000000006,-0.09000000000000008,-0.06000000000000005,-0.43000000000000016,-0.52,-0.012850000000000028,-0.03188000000000002,-0.08196000000000003,0.0,-0.01502647321485684,-0.013108569309470575,,,,-1.7513807329233992,1.7016919957899446,0.8891475594295929,0.4923933627641998,0.4841253753933026,,
